,Phenylalanine,Valine,Threonine,Tryptophan,Methionine,Leucine,Isoleucine,Lysine,Histidine,Alpha-linolenic acid,Linolenic acid,"Vitamin A, total","Vitamin C, total","Vitamin E, total",Vitamin D,"Vitamin K, phylloquinone (K1)",Vitamin B1 (as thiamin hydrochloride),Vitamin B2 (riboflavin),Vitamin B3,Vitamin B5,"Vitamin B6 (as pyridoxinehydrochloride), total",Vitamin B7,Vitamin B9,Vitamin B12 (as cyanocobalamin),Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Magnesium (Mg),Iron (Fe),Zinc (Zn),Iodine (I),Manganese (Mn),Copper (Cu),Chromium (Cr),Selenium (Se),Cl,Mo,Co
"Fish, cisco, smoked",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0133,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Tree fern, cooked, without salt",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Onion, raw",35.0,38.0,28.0,19.0,12.0,53.0,30.0,50.0,18.0,0,0.0,0,8.19,0.07,0,0.0,0.040999999999999995,0.015,0.2,0.13,0.165,0.9,0.036000000000000004,0.0,2.9,193.0,22.9,40.1,9.6,0.33,0.16,0.0009,0.23,0.061,0.0007,0.0005,0,0,0
"Milk, canned, condensed, sweetened",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0002,0,0.0,0.0,0,0.0,0.0,0.0,0.21,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice cream, dairy, (wholemilk based)",220.0,290.0,190.0,56.0,110.0,400.0,220.0,330.0,120.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Mollusks, mussel, blue, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Tomatillos, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.85,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0012,0,0.0,0.0,0,0.0,0.0,0.0,0.094,0.35700000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Plaice, fillet, battered, deepfried",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,246.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.053,0.0,0.0,0,0,0
"Teff, uncooked",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.363,0.9420000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Bilberry, raw",0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,44.0,0.0,0,0.0,0.03,0.03,0.4,0.16,0.06,0.0,0.006,0.0,3.0,103.0,15.0,9.0,7.0,0.8,0.1,0.0012,3.3,0.11,0.001,0.0,0,0,0
